"Id" "Name" "Lon" "Lat"
1035 "palencia|duenas" -4.54529752 41.87792835
1036 "palencia|herreradepisuerga" -4.33024783 42.59478093
1037 "palencia|lagartos" -4.90372508 42.40584359
1038 "palencia|osornolamayor" -4.36133324 42.40979283
1039 "palencia|palencia" -4.53460106 42.0078373
1040 "palencia|saldana" -4.73513792 42.52206186
1041 "palencia|sanmamesdecampos" -4.56438097 42.35350243
1042 "palencia|villaherreros" -4.46114339 42.38934681
1043 "palencia|villaluengadelavega" -4.76727706 42.52329986
1044 "palencia|villamurieldecerrato" -4.51542754 41.94795591
1045 "pontevedra|forcarei" -8.350910786 42.59199219
1046 "pontevedra|oporrino" -8.6209544 42.16185882
1047 "pontevedra|ponteareas" -8.503197592 42.17363999
1048 "pontevedra|pontevedra" -8.643672092 42.43158576
1049 "pontevedra|vigo" -8.726788225 42.23588559
1050 "salamanca|bejar" -5.76748422 40.3870342
1051 "salamanca|calvarrasadeabajo" -5.55092494 40.94576652
1052 "salamanca|cantagallo" -5.8185424 40.37163169
1053 "salamanca|cantaracillo" -5.16330853 40.90331594
1054 "salamanca|encinasdeabajo" -5.47013283 40.93423234
1055 "salamanca|guijuelo" -5.67162062 40.55564032
1056 "salamanca|lahoya" -5.69954226 40.40687241
1057 "salamanca|lossantos" -5.79666635 40.54394177
1058 "salamanca|paradinasdesanjuan" -5.15344613 40.98385649
1059 "salamanca|penarandadebracamonte" -5.20054579 40.90173747
1060 "salamanca|puertodebejar" -5.83701439 40.35044482
1061 "salamanca|ragama" -5.12797209 40.99675088
1062 "salamanca|salamanca" -5.66538084 40.96736822
1063 "salamanca|santamartadetormes" -5.6310736 40.9496834
1064 "salamanca|ventosadelrioalmar" -5.34797777 40.92622034
1065 "segovia|boceguillas" -3.63823602 41.33700043
1066 "segovia|carabias" -3.70732181 41.45583884
1067 "segovia|castillejodemesleon" -3.60095982 41.2809384
1068 "segovia|cerezodeabajo" -3.59256653 41.21753082
1069 "segovia|codorniz" -4.59877421 41.06726143
1070 "segovia|elespinar" -4.24753031 40.71809343
1071 "segovia|fresnodelafuente" -3.64474255 41.39333339
1072 "segovia|honrubiadelacuesta" -3.70468526 41.51091606
1073 "segovia|itueroylama" -4.37749657 40.80028396
1074 "segovia|labajos" -4.52127977 40.84355426
1075 "segovia|martinmunozdelasposadas" -4.59591308 40.99612177
1076 "segovia|navasdesanantonio" -4.32941439 40.76157217
1077 "segovia|oterodeherreros" -4.21045089 40.81947089
1078 "segovia|sancristobaldelavega" -4.64690342 41.11296393
1079 "segovia|segovia" -4.12524116 40.9498703
1080 "segovia|tolocirio" -4.6515332 41.13373215
1081 "segovia|villacastin" -4.41210536 40.78156105
1082 "sevilla|aguadulce" -4.99341911 37.25197969
1083 "sevilla|alcaladeguadaira" -5.85065057 37.33466457
1084 "sevilla|arahal" -5.54476269 37.26265472
1085 "sevilla|badolatosa" -4.67235965 37.30789829
1086 "sevilla|benacazon" -6.19803181 37.35305517
1087 "sevilla|bollullosdelamitacion" -6.13871172 37.34067672
1088 "sevilla|burguillos" -5.96677775 37.58682997
1089 "sevilla|canadarosal" -5.21129413 37.59873915
1090 "sevilla|castillejadeguzman" -6.0548422 37.40860133
1091 "sevilla|castillejadelacuesta" -6.05308137 37.38754489
1092 "sevilla|doshermanas" -5.91334407 37.28894862
1093 "sevilla|ecija" -5.07543598 37.54077247
1094 "sevilla|elcastillodelasguardas" -6.31338511 37.69171662
1095 "sevilla|elcoronil" -5.63458688 37.08163152
1096 "sevilla|elcuervodesevilla" -6.03991511 36.85104185
1097 "sevilla|elgarrobo" -6.17300738 37.62513181
1098 "sevilla|elmadrono" -6.51247314 37.645898
1099 "sevilla|elrealdelajara" -6.15594208 37.95068934
1100 "sevilla|gilena" -4.91428059 37.25226698
1101 "sevilla|guillena" -6.05232296 37.53939693
1102 "sevilla|laluisiana" -5.24916945 37.52645229
1103 "sevilla|lantejuela" -5.22361172 37.35347559
1104 "sevilla|larinconada" -5.97908069 37.48806452
1105 "sevilla|larodadeandalucia" -4.7797279 37.19940589
1106 "sevilla|lascabezasdesanjuan" -5.94075872 36.98079112
1107 "sevilla|loscorrales" -4.9827313 37.09724247
1108 "sevilla|mairenadelalcor" -5.74567851 37.37311949
1109 "sevilla|montellano" -5.57079248 36.99536489
1110 "sevilla|olivares" -6.15621373 37.4183665
1111 "sevilla|osuna" -5.10120623 37.23757134
1112 "sevilla|pruna" -5.22174386 36.97277038
1113 "sevilla|sanlucarlamayor" -6.20123512 37.38407444
1114 "sevilla|tomares" -6.04697812 37.37503003
1115 "sevilla|umbrete" -6.15767822 37.36979771
1116 "sevilla|villanuevadelariscal" -6.14127425 37.3956232
1117 "soria|agreda" -1.91965608 41.85516951
1118 "soria|aldealpozo" -2.20662758 41.78155723
1119 "soria|almazan" -2.5329103 41.48699422
1120 "soria|baraona" -2.65774443 41.29530112
1121 "soria|berlangadeduero" -2.86072705 41.46478118
1122 "soria|burgodeosma-ciudaddeosma" -3.07150788 41.5857756
1123 "soria|coscurita" -2.47549617 41.43491737
1124 "soria|cubodelasolana" -2.42286212 41.6025354
1125 "soria|golmayo" -2.5241455 41.76543444
1126 "soria|langadeduero" -3.40161621 41.6102456
1127 "soria|losrabanos" -2.47580186 41.71724318
1128 "soria|matalebreras" -2.04672705 41.84237065
1129 "soria|medinaceli" -2.43477074 41.17173495
1130 "soria|monteagudodelasvicarias" -2.16664342 41.36629258
1131 "soria|olvega" -1.98266592 41.78045744
1132 "soria|rebollar" -2.50511277 41.91367073
1133 "soria|renieblas" -2.37498707 41.8214266
1134 "soria|sanestebandegormaz" -3.20832556 41.57528652
1135 "soria|soria" -2.46624798 41.76327912
1136 "soria|villardelcampo" -2.14948571 41.78751587
1137 "soria|villasayas" -2.61028175 41.35310582
1138 "tarragona|alcanar" 0.48110591 40.54396913
1139 "tarragona|aldover" 0.50001936 40.88005368
1140 "tarragona|amposta" 0.57831025 40.7103883
1141 "tarragona|batea" 0.30960103 41.09601302
1142 "tarragona|cambrils" 1.05179778 41.0744517
1143 "tarragona|caseres" 0.25016813 41.03861398
1144 "tarragona|corberad'ebre" 0.47510831 41.07667505
1145 "tarragona|elpinelldebrai" 0.51511172 41.01727888
1146 "tarragona|falset" 0.82092617 41.1456084
1147 "tarragona|gandesa" 0.43767923 41.05266475
1148 "tarragona|l'aldea" 0.6084918 40.74056185
1149 "tarragona|l'ametllademar" 0.80032416 40.88500221
1150 "tarragona|morad'ebre" 0.64185013 41.09141499
1151 "tarragona|moralanova" 0.64858077 41.09898344
1152 "tarragona|reus" 1.10986118 41.15410725
1153 "tarragona|riudecols" 0.97655088 41.16856028
1154 "tarragona|salou" 1.13197961 41.07685068
1155 "tarragona|santcarlesdelarapita" 0.59230274 40.61957159
1156 "tarragona|tarragona" 1.2584219 41.11910287
1157 "tarragona|tortosa" 0.52500631 40.81102146
1158 "tarragona|vandellosil'hospitaletdel'infant" 0.8315807 41.01991578
1159 "tarragona|vila-seca" 1.14519766 41.11092332
1160 "tarragona|xerta" 0.49044263 40.90831714
1161 "teruel|alcaniz" -0.13284433 41.05125534
1162 "teruel|alcorisa" -0.38074056 40.89137363
1163 "teruel|alfambra" -1.03356435 40.54604768
1164 "teruel|baguena" -1.35659444 41.03988916
1165 "teruel|burbaguena" -1.33758733 41.01656595
1166 "teruel|calaceite" 0.18819744 41.01700574
1167 "teruel|calamocha" -1.30091517 40.91961258
1168 "teruel|calanda" -0.23142924 40.93854542
1169 "teruel|caminreal" -1.3256961 40.83782336
1170 "teruel|canadavellida" -0.91440101 40.70906259
1171 "teruel|canizardelolivar" -0.64487177 40.81661246
1172 "teruel|casteldecabra" -0.69660308 40.80248904
1173 "teruel|cella" -1.28767198 40.45488538
1174 "teruel|cuevaslabradas" -1.05129761 40.45324859
1175 "teruel|elcuervo" -1.32520055 40.15131198
1176 "teruel|escucha" -0.80971602 40.79551454
1177 "teruel|fuentesclaras" -1.3233324 40.86382198
1178 "teruel|gargallo" -0.58481848 40.83528527
1179 "teruel|lamatadelosolmos" -0.52098411 40.86569852
1180 "teruel|lapuebladevalverde" -0.92912557 40.22444743
1181 "teruel|libros" -1.23443083 40.16154809
1182 "teruel|losolmos" -0.48593766 40.87693682
1183 "teruel|manzanera" -0.83021534 40.05678856
1184 "teruel|mazaleon" 0.10416384 41.0497617
1185 "teruel|mezquitadejarque" -0.86809203 40.72134939
1186 "teruel|monrealdelcampo" -1.35403777 40.79010149
1187 "teruel|montalban" -0.79841599 40.83220326
1188 "teruel|moraderubielos" -0.75353912 40.25239335
1189 "teruel|peralejos" -1.03321753 40.48322788
1190 "teruel|peralesdelalfambra" -1.00320434 40.63298559
1191 "teruel|pozueldelcampo" -1.5053336 40.77151479
1192 "teruel|sanmartindelrio" -1.38701731 41.06559445
1193 "teruel|santaeulalia" -1.31215335 40.56501265
1194 "teruel|sarrion" -0.81521369 40.14094343
1195 "teruel|singra" -1.31305672 40.65499113
1196 "teruel|teruel" -1.10927177 40.34412951
1197 "teruel|torrelacarcel" -1.30257568 40.61397627
1198 "teruel|torremochadejiloca" -1.2968909 40.58973246
1199 "teruel|torrijodelcampo" -1.33772454 40.82589067
1200 "teruel|utrillas" -0.84316294 40.81347559
1201 "teruel|valdealgorfa" -0.03514372 40.99083302
1202 "teruel|valdeltormo" 0.08365997 40.9868198
1203 "teruel|villafrancadelcampo" -1.3472759 40.69472583
1204 "teruel|villarquemado" -1.26708485 40.51711461
1205 "teruel|villastar" -1.15323397 40.28020398
1206 "teruel|villel" -1.18729721 40.23351965
1207 "toledo|ajofrin" -3.98225489 39.71353745
1208 "toledo|alamedadelasagra" -3.79673062 40.01343634
1209 "toledo|alcaudetedelajara" -4.87037733 39.78836407
1210 "toledo|anoverdetajo" -3.76618531 39.98842414
1211 "toledo|arcicollar" -4.11529442 40.05432548
1212 "toledo|bargas" -4.01977625 39.9415046
1213 "toledo|belvisdelajara" -4.94955278 39.75979035
1214 "toledo|burguillosdetoledo" -3.99235074 39.7968926
1215 "toledo|cabanasdelasagra" -3.94682741 40.00743373
1216 "toledo|caleruela" -5.25634025 39.87414587
1217 "toledo|calzadadeoropesa" -5.27721376 39.89616028
1218 "toledo|camarena" -4.11969073 40.09227569
1219 "toledo|camarenilla" -4.07531674 40.01782752
1220 "toledo|camunas" -3.45941091 39.42618502
1221 "toledo|casarrubiosdelmonte" -4.0359802 40.18499468
1222 "toledo|cazalegas" -4.67737088 40.01078706
1223 "toledo|cebolla" -4.57258833 39.9472367
1224 "toledo|chozasdecanales" -4.04357182 40.09847296
1225 "toledo|cobeja" -3.85946586 40.02286285
1226 "toledo|corraldealmaguer" -3.16447964 39.75947704
1227 "toledo|dosbarrios" -3.48459445 39.88070774
1228 "toledo|elcarpiodetajo" -4.45439481 39.88675883
1229 "toledo|elcasardeescalona" -4.52491513 40.04583035
1230 "toledo|eltoboso" -2.99566299 39.51306146
1231 "toledo|escalonilla" -4.34900711 39.92484479
1232 "toledo|gerindote" -4.30194428 39.96509622
1233 "toledo|herrerueladeoropesa" -5.24259858 39.88946588
1234 "toledo|illandevacas" -4.55763678 39.97079939
1235 "toledo|illescas" -3.84923771 40.12412418
1236 "toledo|lagartera" -5.20107075 39.90517115
1237 "toledo|laguardia" -3.47667136 39.78831523
1238 "toledo|lamata" -4.43867697 39.94214625
1239 "toledo|lanavadericomalillo" -4.98950457 39.65163284
1240 "toledo|lapueblademontalban" -4.35687837 39.86530851
1241 "toledo|lasventasderetamosa" -4.1124078 40.15504172
1242 "toledo|loscerralbos" -4.5689708 39.98459279
1243 "toledo|losyebenes" -3.87090634 39.58190415
1244 "toledo|lucillos" -4.6122444 39.98553967
1245 "toledo|madridejos" -3.53369545 39.4684254
1246 "toledo|magan" -3.93122653 39.96119655
1247 "toledo|malpicadetajo" -4.54612686 39.8974919
1248 "toledo|maqueda" -4.36970187 40.06471513
1249 "toledo|mocejon" -3.9168404 39.94039068
1250 "toledo|montearagon" -4.63101433 39.96468226
1251 "toledo|noblejas" -3.44291095 39.98028083
1252 "toledo|noves" -4.27230437 40.04687899
1253 "toledo|numanciadelasagra" -3.85468482 40.07640596
1254 "toledo|ocana" -3.49957848 39.96022886
1255 "toledo|oliasdelrey" -3.9870735 39.94643646
1256 "toledo|ontigola" -3.57252958 40.00342662
1257 "toledo|orgaz" -3.87453461 39.64734513
1258 "toledo|oropesa" -5.17249007 39.91910626
1259 "toledo|pantoja" -3.8354065 40.04395897
1260 "toledo|quintanardelaorden" -3.04285854 39.59067816
1261 "toledo|quismondo" -4.32387815 40.10531182
1262 "toledo|santacruzdelazarza" -3.18708058 39.98359401
1263 "toledo|santacruzdelretamar" -4.24156628 40.11849392
1264 "toledo|santaolalla" -4.42788219 40.02413804
1265 "toledo|santodomingo-caudilla" -4.32665355 40.01434958
1266 "toledo|sesena" -3.69816072 40.10382547
1267 "toledo|sevillejadelajara" -4.96415419 39.57578193
1268 "toledo|sonseca" -3.97425527 39.67641138
1269 "toledo|talaveradelareina" -4.83370199 39.96016737
1270 "toledo|tembleque" -3.50343059 39.69700116
1271 "toledo|toledo" -4.02431421 39.85715187
1272 "toledo|torralbadeoropesa" -5.15393844 39.93379437
1273 "toledo|torrijos" -4.28548503 39.98152383
1274 "toledo|valmojado" -4.09118625 40.20534407
1275 "toledo|villafrancadeloscaballeros" -3.36272107 39.42604853
1276 "toledo|villaluengadelasagra" -3.91176829 40.02736459
1277 "toledo|villarrubiadesantiago" -3.37049918 39.98698528
1278 "toledo|villasecadelasagra" -3.88232086 39.96027245
1279 "toledo|villatobas" -3.32257608 39.90058759
1280 "toledo|yuncler" -3.90154252 40.04380591
1281 "toledo|yuncos" -3.8742774 40.0842783
1282 "valencia|agullent" -0.54782899 38.82229442
1283 "valencia|aielodemalferit" -0.5914752 38.87774947
1284 "valencia|aieloderugat" -0.34335159 38.88172539
1285 "valencia|alaquas" -0.46015527 39.45807854
1286 "valencia|albaida" -0.51986706 38.84180459
1287 "valencia|albalatdelaribera" -0.38619815 39.20127117
1288 "valencia|alberic" -0.51744033 39.11685193
1289 "valencia|aldaia" -0.46197516 39.46491997
1290 "valencia|algemesi" -0.43644269 39.1890727
1291 "valencia|alginet" -0.46964795 39.26153042
1292 "valencia|alzira" -0.43554456 39.14944832
1293 "valencia|belgida" -0.4752401 38.85896646
1294 "valencia|bellreguard" -0.16184473 38.94530865
1295 "valencia|beniculldexuquer" -0.38349993 39.18567881
1296 "valencia|benifairodelavalldigna" -0.30276868 39.05379019
1297 "valencia|bunol" -0.78986594 39.41801363
1298 "valencia|burjassot" -0.41266051 39.50973203
1299 "valencia|canals" -0.58558184 38.95946334
1300 "valencia|carcaixent" -0.44698055 39.12276198
1301 "valencia|castelloderugat" -0.38259728 38.87583716
1302 "valencia|castellonetdelaconquesta" -0.26340163 38.9144824
1303 "valencia|castielfabib" -1.30342617 40.13136465
1304 "valencia|catarroja" -0.40311595 39.40248625
1305 "valencia|caudetedelasfuentes" -1.27886718 39.55852733
1306 "valencia|cerda" -0.57384286 38.98592424
1307 "valencia|chiva" -0.7174205 39.47388523
1308 "valencia|corbera" -0.35512919 39.15811861
1309 "valencia|cullera" -0.25463848 39.16508089
1310 "valencia|daimus" -0.15272664 38.96816756
1311 "valencia|elpalomar" -0.50277319 38.85358534
1312 "valencia|favara" -0.2910155 39.12576138
1313 "valencia|fontanarsdelsalforins" -0.7849707 38.78460648
1314 "valencia|fortaleny" -0.3129574 39.18349516
1315 "valencia|gandia" -0.17941691 38.96736579
1316 "valencia|guadassuar" -0.47824408 39.1855886
1317 "valencia|l'alcudia" -0.50645447 39.19576372
1318 "valencia|l'alcudiadecrespins" -0.58999491 38.97021311
1319 "valencia|l'alqueriadelacomtessa" -0.1561269 38.93653868
1320 "valencia|l'olleria" -0.54678215 38.91173101
1321 "valencia|lafontdelafiguera" -0.8808594 38.80692932
1322 "valencia|lallosaderanes" -0.53357725 39.01884746
1323 "valencia|lapoblallarga" -0.47555312 39.08408601
1324 "valencia|llaneraderanes" -0.57140634 38.99303617
1325 "valencia|llocnoudesantjeroni" -0.28526658 38.91266873
1326 "valencia|manises" -0.45700309 39.49163946
1327 "valencia|manuel" -0.49270651 39.05016654
1328 "valencia|massalaves" -0.52158427 39.14048106
1329 "valencia|miramar" -0.13973887 38.95021905
1330 "valencia|mislata" -0.41745851 39.47533513
1331 "valencia|montitxelvo/montichelvo" -0.33961791 38.89097398
1332 "valencia|montroi/montroy" -0.61459393 39.33787195
1333 "valencia|montserrat" -0.60318184 39.3581245
1334 "valencia|novele/novetle" -0.54603503 38.98087357
1335 "valencia|oliva" -0.1206552 38.92087548
1336 "valencia|ontinyent" -0.60649062 38.82288129
1337 "valencia|palmera" -0.15177074 38.94190989
1338 "valencia|paterna" -0.44257379 39.50273688
1339 "valencia|piles" -0.13225797 38.94060288
1340 "valencia|polinyadexuquer" -0.3685699 39.19675684
1341 "valencia|pucol" -0.30317868 39.61631894
1342 "valencia|quartdelesvalls" -0.27210475 39.74005314
1343 "valencia|quartdepoblet" -0.44189692 39.4837855
1344 "valencia|rafoldesalem" -0.39689276 38.86594914
1345 "valencia|requena" -1.10026975 39.48606411
1346 "valencia|riola" -0.33313298 39.19728362
1347 "valencia|rotglaicorbera" -0.56324832 39.0056957
1348 "valencia|rotova" -0.25563045 38.93270557
1349 "valencia|rugat" -0.3616423 38.87897808
1350 "valencia|sagunto/sagunt" -0.2759603 39.68008485
1351 "valencia|sieteaguas" -0.91525006 39.47083761
1352 "valencia|silla" -0.40918614 39.36367607
1353 "valencia|simatdelavalldigna" -0.31183498 39.04354005
1354 "valencia|sollana" -0.38003433 39.27761921
1355 "valencia|sueca" -0.31552389 39.20242834
1356 "valencia|tavernesdelavalldigna" -0.26721943 39.07256604
1357 "valencia|terrateig" -0.32028226 38.89443254
1358 "valencia|torrebaja" -1.256043 40.095634
1359 "valencia|torrella" -0.57202049 38.98858019
1360 "valencia|torrent" -0.46496185 39.43708486
1361 "valencia|utiel" -1.20538601 39.56715497
1362 "valencia|valencia" -0.37565717 39.47534441
1363 "valencia|ventadelmoro" -1.35639044 39.48386851
1364 "valencia|villargordodelcabriel" -1.44184908 39.53700548
1365 "valencia|xativa" -0.51869568 38.98797116
1366 "valencia|xeraco" -0.21567267 39.03284153
1367 "valencia|xeresa" -0.21839661 39.00991535
1368 "valladolid|alaejos" -5.21675691 41.30756844
1369 "valladolid|becilladevalderaduey" -5.2184285 42.09850185
1370 "valladolid|berrueces" -5.09718917 41.94574427
1371 "valladolid|boecillo" -4.69939733 41.540459
1372 "valladolid|cabezondepisuerga" -4.6472781 41.733648
1373 "valladolid|carpio" -5.11198964 41.21509216
1374 "valladolid|castromonte" -5.04074349 41.77339146
1375 "valladolid|ceinosdecampos" -5.15100116 42.03163863
1376 "valladolid|fuente-olmedo" -4.64720162 41.24472988
1377 "valladolid|lagunadeduero" -4.7221494 41.58331761
1378 "valladolid|lamudarra" -4.94410482 41.77930078
1379 "valladolid|lazarza" -4.77129181 41.26158639
1380 "valladolid|mayorga" -5.26250853 42.16648978
1381 "valladolid|medinadelcampo" -4.91518741 41.30757812
1382 "valladolid|medinaderioseco" -5.0431823 41.88307138
1383 "valladolid|mojados" -4.66159273 41.43280907
1384 "valladolid|olmedo" -4.68473481 41.28888076
1385 "valladolid|pedrosadelrey" -5.20444332 41.55551715
1386 "valladolid|penafiel" -4.11868509 41.59645053
1387 "valladolid|sansalvador" -5.0887661 41.62095885
1388 "valladolid|simancas" -4.82779831 41.59046776
1389 "valladolid|tordesillas" -5.00127589 41.50202255
1390 "valladolid|valbuenadeduero" -4.29268468 41.64246886
1391 "valladolid|valladolid" -4.72334924 41.65232777
1392 "valladolid|villalondecampos" -5.03429396 42.09853942
1393 "valladolid|villanubla" -4.84123213 41.69957681
1394 "valladolid|zaratan" -4.78289177 41.66151599
1395 "zamora|benavente" -5.68006912 42.00172902
1396 "zamora|camarzanadetera" -6.02689635 41.99506461
1397 "zamora|mombuey" -6.33017752 42.02332832
1398 "zamora|puebladesanabria" -6.63439782 42.05495198
1399 "zamora|toro" -5.39464249 41.51990968
1400 "zamora|villalpando" -5.41470347 41.86487923
1401 "zamora|zamora" -5.75494831 41.49913956
1402 "zaragoza|ainzon" -1.51925171 41.81670398
1403 "zaragoza|alagon" -1.12214332 41.77030322
1404 "zaragoza|alberitedesanjuan" -1.47138793 41.82047221
1405 "zaragoza|alfajarin" -0.70180187 41.61525007
1406 "zaragoza|ariza" -2.05613753 41.31268123
1407 "zaragoza|borja" -1.53215004 41.83498182
1408 "zaragoza|bujaraloz" -0.1527435 41.49813764
1409 "zaragoza|bulbuente" -1.60170092 41.81781831
1410 "zaragoza|bureta" -1.48805183 41.81690098
1411 "zaragoza|calatayud" -1.64472637 41.35431931
1412 "zaragoza|carinena" -1.22327064 41.33816994
1413 "zaragoza|caspe" -0.03750663 41.23639012
1414 "zaragoza|daroca" -1.41677154 41.11515254
1415 "zaragoza|figueruelas" -1.17295475 41.76756534
1416 "zaragoza|lapuebladealfinden" -0.75088411 41.63158699
1417 "zaragoza|longares" -1.16904948 41.40378284
1418 "zaragoza|maella" 0.14256843 41.12199909
1419 "zaragoza|magallon" -1.46036968 41.8340781
1420 "zaragoza|mainar" -1.30221644 41.19225484
1421 "zaragoza|malejan" -1.54911679 41.82709144
1422 "zaragoza|mallen" -1.41847153 41.90052558
1423 "zaragoza|mariadehuerva" -0.9971823 41.5370289
1424 "zaragoza|mequinenza" 0.30277747 41.37428943
1425 "zaragoza|muel" -1.08483691 41.46663061
1426 "zaragoza|nuezdeebro" -0.68314405 41.59199889
1427 "zaragoza|oseradeebro" -0.58064613 41.53436117
1428 "zaragoza|paniza" -1.21201905 41.2846371
1429 "zaragoza|pedrola" -1.21554213 41.79055322
1430 "zaragoza|pinadeebro" -0.53303523 41.48709183
1431 "zaragoza|tarazona" -1.72518642 41.90264813
1432 "zaragoza|verademoncayo" -1.68714898 41.82554602
1433 "zaragoza|villafrancadeebro" -0.65051302 41.57245852
1434 "zaragoza|villanuevadejiloca" -1.39221574 41.07595379
1435 "zaragoza|zaragoza" -0.87928652 41.65645655
