"id" "Name" "Lon" "Lat"
246 "lajedo,pe" -36.32 -8.664
247 "canhotinho,pe" -36.191 -8.882
248 "quipapa,pe" -36.012 -8.828
249 "portorealdocolegio,al" -36.84 -10.186
250 "eunapolis,ba" -39.58 -16.378
251 "bomconselho,pe" -36.68 -9.17
252 "palmeiradosindios,al" -36.628 -9.407
253 "ilheus,ba" -39.049 -14.789
254 "belohorizonte,mg" -43.956 -19.817
255 "itamaraju,ba" -39.531 -17.039
256 "vitoriadaconquista,ba" -40.839 -14.866
257 "saojosedoscampos,sp" -45.887 -23.179
258 "natal,rn" -35.209 -5.795
259 "caruaru,pe" -35.976 -8.283
260 "picos,pi" -41.467 -7.077
261 "capimgrosso,ba" -40.013 -11.381
262 "senhordobonfim,ba" -40.191 -10.463
263 "pocoes,ba" -40.365 -14.53
264 "ibicarai,ba" -39.588 -14.865
265 "itororo,ba" -40.07 -15.117
266 "itapetinga,ba" -40.248 -15.249
267 "linhares,es" -40.072 -19.391
268 "ipatinga,mg" -42.537 -19.468
269 "prado,ba" -39.221 -17.341
270 "alcobaca,ba" -39.196 -17.519
271 "saomateus,es" -39.859 -18.716
272 "piracicaba,sp" -47.649 -22.725
273 "pedrocanario,es" -40.151 -18.03
274 "portoseguro,ba" -39.065 -16.45
275 "guarapari,es" -40.511 -20.658
276 "anchieta,es" -40.645 -20.805
277 "marataizes,es" -40.824 -21.043
278 "medeirosneto,ba" -40.221 -17.374
279 "ribeiradopombal,ba" -38.536 -10.834
280 "cipo,ba" -38.517 -11.1
281 "camacari,ba" -38.324 -12.698
282 "engenheirocaldas,mg" -42.046 -19.219
283 "domcavati,mg" -42.106 -19.374
284 "inhapim,mg" -42.12 -19.549
285 "alegre,es" -41.533 -20.764
286 "carangola,mg" -42.029 -20.733
287 "cachoeirodeitapemirim,es" -41.113 -20.849
288 "joaomonlevade,mg" -43.174 -19.81
289 "manhuacu,mg" -42.034 -20.258
290 "manhumirim,mg" -41.958 -20.358
291 "timoteo,mg" -42.644 -19.583
292 "barretos,sp" -48.568 -20.557
293 "anapolis,go" -48.953 -16.327
294 "arcoverde,pe" -37.054 -8.419
295 "sertania,pe" -37.264 -8.074
296 "teixeira,pb" -37.254 -7.223
297 "mossoro,rn" -37.344 -5.188
298 "paudosferros,rn" -38.209 -6.111
299 "riocasca,mg" -42.651 -20.226
300 "pontenova,mg" -42.909 -20.416
301 "ouropreto,mg" -43.508 -20.288
302 "ibatiba,es" -41.511 -20.234
303 "santanadoipanema,al" -37.245 -9.378
304 "santos,sp" -46.334 -23.961
305 "aragarcas,go" -52.251 -15.898
306 "bananal,sp" -44.323 -22.684
307 "belem,pa" -48.504 -1.456
308 "castanhal,pa" -47.922 -1.297
309 "bomjardim,ma" -45.994 -3.565
310 "brejo,ma" -42.75 -3.684
311 "capanema,pa" -47.181 -1.196
312 "chapadinha,ma" -43.36 -3.742
313 "baraodegrajau,ma" -43.024 -6.756
