"id" "Name" "Lon" "Lat"
1267 "ervalgrande,rs" -52.571 -27.391
1268 "saovalentim,rs" -52.524 -27.558
1269 "trespalmeiras,rs" -52.841 -27.615
1270 "chopinzinho,pr" -52.523 -25.856
1271 "sananduva,rs" -51.807 -27.95
1272 "ibiraiaras,rs" -51.636 -28.37
1273 "piratuba,sc" -51.772 -27.42
1274 "capinzal,sc" -51.612 -27.344
1275 "lacerdopolis,sc" -51.556 -27.26
1276 "novabassano,rs" -51.705 -28.724
1277 "novaaraca,rs" -51.745 -28.659
1278 "paimfilho,rs" -51.761 -27.711
1279 "maximilianodealmeida,rs" -51.803 -27.632
1280 "marcelinoramos,rs" -51.906 -27.462
1281 "camponovo,rs" -53.803 -27.675
1282 "tenenteportela,rs" -53.758 -27.371
1283 "andredarocha,rs" -51.571 -28.631
1284 "doisvizinhos,pr" -53.057 -25.734
1285 "itapejarad'oeste,pr" -52.816 -25.965
1286 "saltodolontra,pr" -53.309 -25.784
1287 "vere,pr" -52.908 -25.881
1288 "vilamaria,rs" -52.154 -28.535
1289 "carandai,mg" -43.806 -20.954
1290 "itabirito,mg" -43.801 -20.253
1291 "congonhas,mg" -43.858 -20.5
1292 "ourobranco,mg" -43.692 -20.521
1293 "mariana,mg" -43.416 -20.378
1294 "mogidascruzes,sp" -46.188 -23.523
1295 "ribeiraopires,sp" -46.413 -23.711
1296 "cubatao,sp" -46.425 -23.895
1297 "praiagrande,sp" -46.403 -24.006
1298 "caraguatatuba,sp" -45.413 -23.62
1299 "rifaina,sp" -47.421 -20.081
1300 "iconha,es" -40.811 -20.793
1301 "rionovodosul,es" -40.936 -20.863
1302 "macae,rj" -41.787 -22.371
1303 "piuma,es" -40.729 -20.835
1304 "joaoneiva,es" -40.386 -19.758
1305 "teixeiradefreitas,ba" -39.742 -17.535
1306 "marechalfloriano,es" -40.683 -20.413
1307 "martinssoares,mg" -41.877 -20.257
1308 "lajinha,mg" -41.623 -20.151
1309 "vicosa,mg" -42.882 -20.754
1310 "ibiracu,es" -40.37 -19.832
1311 "aguiabranca,es" -40.74 -18.983
1312 "barradesaofrancisco,es" -40.891 -18.755
1313 "montanha,es" -40.363 -18.127
1314 "boaesperanca,es" -40.296 -18.54
1315 "pinheiros,es" -40.215 -18.412
1316 "serra,es" -40.308 -20.129
1317 "saodomingosdonorte,es" -40.624 -19.144
1318 "saogabrieldapalha,es" -40.536 -19.017
1319 "novavenecia,es" -40.401 -18.711
1320 "fundao,es" -40.407 -19.933
1321 "carloschagas,mg" -40.766 -17.703
1322 "resplendor,mg" -41.255 -19.326
1323 "conselheiropena,mg" -41.472 -19.172
1324 "galileia,mg" -41.538 -18.999
1325 "baixoguandu,es" -41.016 -19.519
1326 "aracruz,es" -40.273 -19.82
1327 "ataleia,mg" -41.11 -18.044
1328 "apui,am" -59.891 -7.197
1329 "bocadoacre,am" -67.398 -8.752
1330 "firminopolis,go" -50.305 -16.582
1331 "arenopolis,go" -51.56 -16.386
1332 "bomjardimdegoias,go" -52.172 -16.21
1333 "santabarbaradegoias,go" -49.694 -16.574
1334 "nazario,go" -49.882 -16.582
1335 "israelandia,go" -50.908 -16.318
1336 "baliza,go" -52.545 -16.196
1337 "formoso,go" -48.882 -13.654
1338 "montividiudonorte,go" -48.607 -13.113
1339 "palmeiropolis,to" -48.402 -13.044
1340 "trombas,go" -48.74 -13.509
1341 "araguacu,to" -49.826 -12.931
1342 "mutunopolis,go" -49.275 -13.733
1343 "novoplanalto,go" -49.504 -13.244
1344 "sandolandia,to" -49.925 -12.537
1345 "jaudotocantins,to" -48.594 -12.654
1346 "perdoes,mg" -45.091 -21.091
1347 "formiga,mg" -45.426 -20.464
1348 "candeias,mg" -45.276 -20.767
1349 "iguatama,mg" -45.711 -20.174
1350 "passaquatro,mg" -44.967 -22.39
1351 "itanhandu,mg" -44.935 -22.296
1352 "pousoalto,mg" -44.973 -22.194
1353 "caxambu,mg" -44.933 -21.977
1354 "piquete,sp" -45.176 -22.614
1355 "diadema,sp" -46.623 -23.686
1356 "saobernardodocampo,sp" -46.565 -23.694
1357 "santoandre,sp" -46.538 -23.664
1358 "saolourenco,mg" -45.054 -22.116
1359 "cachoeirapaulista,sp" -45.009 -22.665
1360 "cruzilia,mg" -44.808 -21.839
1361 "andrelandia,mg" -44.309 -21.74
1362 "guaxupe,mg" -46.713 -21.305
1363 "joaopinheiro,mg" -46.173 -17.743
1364 "coromandel,mg" -47.2 -18.473
1365 "abadiadosdourados,mg" -47.403 -18.486
1366 "saogotardo,mg" -46.049 -19.311
1367 "cassilandia,ms" -51.734 -19.113
1368 "cachoeiraalta,go" -50.942 -18.763
1369 "birigui,sp" -50.34 -21.289
1370 "osvaldocruz,sp" -50.89 -21.797
1371 "parapua,sp" -50.793 -21.783
1372 "ipora,pr" -53.704 -24.003
1373 "santamariana,pr" -50.519 -23.151
1374 "bandeirantes,pr" -50.368 -23.11
1375 "cambara,pr" -50.074 -23.046
1376 "guairaca,pr" -52.686 -22.934
1377 "jataizinho,pr" -50.98 -23.254
1378 "ibipora,pr" -51.048 -23.269
1379 "mariluz,pr" -53.146 -24.002
1380 "belavistadoparaiso,pr" -51.191 -22.997
1381 "alvoradadosul,pr" -51.231 -22.78
1382 "guaraci,pr" -51.65 -22.973
1383 "centenariodosul,pr" -51.595 -22.821
1384 "ivaipora,pr" -51.685 -24.248
1385 "cristinocastro,pi" -44.224 -8.818
1386 "bomjesus,pi" -44.359 -9.074
1387 "montealegredopiaui,pi" -45.304 -9.754
1388 "cristalandiadopiaui,pi" -45.185 -10.653
1389 "limoeiro,pe" -35.45 -7.875
1390 "diasd'avila,ba" -38.297 -12.613
1391 "pojuca,ba" -38.328 -12.431
1392 "saomateusdomaranhao,ma" -44.47 -4.04
1393 "ipu,ce" -40.711 -4.322
1394 "alagoagrande,pb" -35.635 -7.089
1395 "riodasostras,rj" -41.945 -22.527
1396 "afogadosdaingazeira,pe" -37.639 -7.751
1397 "guarabira,pb" -35.49 -6.855
1398 "afonsoclaudio,es" -41.124 -20.074
1399 "muqui,es" -41.346 -20.952
1400 "mimosodosul,es" -41.366 -21.064
1401 "esperafeliz,mg" -41.907 -20.65
1402 "vitoria,es" -40.338 -20.319
1403 "curiuva,pr" -50.458 -24.033
1404 "saltodoitarare,pr" -49.626 -23.601
1405 "itabera,sp" -49.137 -23.862
1406 "figueira,pr" -50.403 -23.849
1407 "belavista,ms" -56.521 -22.109
1408 "anaurilandia,ms" -52.718 -22.188
1409 "fatimadosul,ms" -54.514 -22.374
1410 "gloriadedourados,ms" -54.233 -22.418
1411 "deodapolis,ms" -54.165 -22.276
1412 "ivinhema,ms" -53.815 -22.305
1413 "riolargo,al" -35.853 -9.478
1414 "arceburgo,mg" -46.94 -21.364
1415 "guaranesia,mg" -46.803 -21.299
1416 "aguai,sp" -46.979 -22.059
1417 "tapiratiba,sp" -46.749 -21.468
1418 "saojosedoriopardo,sp" -46.889 -21.596
1419 "itobi,sp" -46.975 -21.737
1420 "montebelo,mg" -46.368 -21.326
1421 "itamogi,mg" -47.048 -21.078
1422 "montesantodeminas,mg" -46.98 -21.19
1423 "divinolandia,sp" -46.739 -21.661
1424 "cajuru,sp" -47.304 -21.275
1425 "santacruzdaesperanca,sp" -47.43 -21.291
1426 "novacruz,rn" -35.434 -6.478
1427 "santoantonio,rn" -35.479 -6.311
1428 "sape,pb" -35.233 -7.095
1429 "belem,pb" -35.519 -6.747
1430 "areia,pb" -35.692 -6.963
1431 "altafloresta,mt" -56.086 -9.876
1432 "novasantahelena,mt" -55.177 -10.852
1433 "colider,mt" -55.455 -10.813
1434 "novacanaadonorte,mt" -55.953 -10.558
1435 "carlinda,mt" -55.832 -9.958
1436 "ibipitanga,ba" -42.486 -12.882
1437 "paramirim,ba" -42.239 -13.443
1438 "abaira,ba" -41.664 -13.25
1439 "ituacu,ba" -41.297 -13.813
1440 "barradaestiva,ba" -41.327 -13.626
1441 "macaubas,ba" -42.699 -13.019
1442 "aracatu,ba" -41.462 -14.428
1443 "ipiau,ba" -39.734 -14.137
1444 "assai,pr" -50.841 -23.373
1445 "santoantoniodoparaiso,pr" -50.646 -23.494
1446 "maracaju,ms" -55.168 -21.614
1447 "itaituba,pa" -55.984 -4.276
1448 "sidrolandia,ms" -54.961 -20.932
1449 "arapora,mg" -49.187 -18.437
1450 "bodoco,pe" -39.941 -7.778
1451 "lagoagrande,pe" -40.272 -8.997
1452 "quirinopolis,go" -50.452 -18.448
1453 "tupaciguara,mg" -48.705 -18.593
1454 "cachoeiradourada,go" -49.475 -18.492
1455 "capinopolis,mg" -49.57 -18.682
1456 "ipiacu,mg" -49.943 -18.692
1457 "inaciolandia,go" -49.987 -18.488
1458 "aguadocedonorte,es" -40.979 -18.547
1459 "altorionovo,es" -41.017 -19.056
1460 "pancas,es" -40.851 -19.225
1461 "comendadorlevygasparian,rj" -43.205 -22.029
1462 "simaopereira,mg" -43.312 -21.964
1463 "sapucaia,rj" -42.914 -21.995
1464 "vassouras,rj" -43.663 -22.404
1465 "paraibadosul,rj" -43.293 -22.162
1466 "divino,mg" -42.149 -20.614
1467 "lajedomuriae,rj" -42.123 -21.206
1468 "doresdoriopreto,es" -41.845 -20.689
1469 "bandeira,mg" -40.559 -15.885
1470 "colombia,sp" -48.689 -20.176
1471 "comendadorgomes,mg" -49.081 -19.698
1472 "divisaalegre,mg" -41.345 -15.726
1473 "recreio,mg" -42.469 -21.525
1474 "uba,mg" -42.943 -21.12
1475 "candidosales,ba" -41.239 -15.505
1476 "ubaporanga,mg" -42.106 -19.635
1477 "alpercata,mg" -41.97 -18.974
1478 "jampruca,mg" -41.804 -18.463
1479 "campanario,mg" -41.748 -18.239
1480 "fervedouro,mg" -42.279 -20.726
1481 "mirai,mg" -42.614 -21.195
1482 "carmo,rj" -42.609 -21.934
1483 "viscondedoriobranco,mg" -42.841 -21.01
1484 "riopomba,mg" -43.179 -21.275
1485 "saojoaonepomuceno,mg" -43.011 -21.54
1486 "rionovo,mg" -43.125 -21.458
1487 "novavicosa,ba" -39.372 -17.892
1488 "caravelas,ba" -39.266 -17.732
1489 "mucuri,ba" -39.551 -18.086
1490 "itanhem,ba" -40.33 -17.166
1491 "ibirapua,ba" -40.109 -17.688
1492 "santaritadosapucai,mg" -45.703 -22.252
1493 "saojosedoalegre,mg" -45.526 -22.329
1494 "pedralva,mg" -45.466 -22.243
1495 "cristina,mg" -45.264 -22.212
1496 "carmodeminas,mg" -45.129 -22.122
1497 "olimpionoronha,mg" -45.264 -22.068
1498 "jesuania,mg" -45.291 -21.998
1499 "saojoaodamata,mg" -45.929 -21.93
1500 "pocofundo,mg" -45.965 -21.781
1501 "machado,mg" -45.92 -21.675
1502 "espiritosantodopinhal,sp" -46.741 -22.191
1503 "muzambinho,mg" -46.526 -21.376
1504 "botelhos,mg" -46.395 -21.633
1505 "caboverde,mg" -46.396 -21.472
1506 "carmodorioclaro,mg" -46.119 -20.972
1507 "areado,mg" -46.146 -21.359
1508 "alterosa,mg" -46.143 -21.249
1509 "conceicaodaaparecida,mg" -46.204 -21.094
1510 "caconde,sp" -46.644 -21.529
1511 "campestre,mg" -46.246 -21.711
1512 "bandeiradosul,mg" -46.386 -21.728
1513 "eloimendes,mg" -45.565 -21.61
1514 "paraguacu,mg" -45.738 -21.547
1515 "conceicaodosouros,mg" -45.798 -22.413
1516 "heliodora,mg" -45.542 -22.067
1517 "santoantoniodaalegria,sp" -47.151 -21.087
1518 "miguelopolis,sp" -48.032 -20.179
1519 "ituverava,sp" -47.781 -20.339
1520 "aramina,sp" -47.786 -20.09
1521 "guara,sp" -47.824 -20.428
1522 "saojoaquimdabarra,sp" -47.855 -20.581
1523 "delta,mg" -47.771 -19.977
1524 "parademinas,mg" -44.608 -19.86
1525 "itauna,mg" -44.576 -20.075
1526 "santoantoniodoamparo,mg" -44.919 -20.946
1527 "itapecerica,mg" -45.126 -20.473
1528 "claudio,mg" -44.766 -20.443
1529 "chiador,mg" -43.058 -22.003
1530 "pedrapreta,mt" -54.474 -16.623
1531 "costarica,ms" -53.129 -18.544
1532 "guararapes,sp" -50.643 -21.261
1533 "pedrogomes,ms" -54.552 -18.101
1534 "jaraguari,ms" -54.399 -20.142
1535 "ribasdoriopardo,ms" -53.759 -20.443
1536 "chapadaodosul,ms" -52.623 -18.794
1537 "pontebranca,mt" -52.833 -16.764
1538 "josebonifacio,sp" -49.688 -21.053
1539 "camapua,ms" -54.044 -19.531
1540 "adamantina,sp" -51.073 -21.685
1541 "dracena,sp" -51.533 -21.483
1542 "junqueiropolis,sp" -51.434 -21.515
1543 "pacaembu,sp" -51.261 -21.562
1544 "lucelia,sp" -51.019 -21.72
1545 "brasilandia,ms" -52.037 -21.256
1546 "icem,sp" -49.195 -20.342
1547 "novagranada,sp" -49.314 -20.534
1548 "santaritadejacutinga,mg" -44.095 -22.149
1549 "santanadodeserto,mg" -43.166 -21.95
1550 "pequeri,mg" -43.121 -21.834
1551 "saojosedaboavista,pr" -49.652 -23.916
1552 "bomjesusdegoias,go" -49.742 -18.215
1553 "santahelenadegoias,go" -50.597 -17.814
1554 "amambai,ms" -55.226 -23.104
1555 "perobal,pr" -53.41 -23.896
1556 "franciscoalves,pr" -53.848 -24.066
1557 "iguatemi,ms" -54.561 -23.68
1558 "tacuru,ms" -55.016 -23.633
1559 "candelaria,rs" -52.789 -29.669
1560 "saofranciscodosul,sc" -48.638 -26.243
1561 "guapore,rs" -51.89 -28.846
1562 "encantado,rs" -51.87 -29.236
1563 "arroiodomeio,rs" -51.945 -29.401
1564 "sapiranga,rs" -51.007 -29.638
1565 "taquara,rs" -50.781 -29.651
1566 "gramado,rs" -50.874 -29.379
1567 "igrejinha,rs" -50.79 -29.574
1568 "garopaba,sc" -48.613 -28.023
1569 "vertentes,pe" -35.988 -7.903
1570 "soledade,pb" -36.363 -7.057
1571 "taperoa,pb" -36.827 -7.207
1572 "vilarica,mt" -51.116 -10.012
1573 "sarutaia,sp" -49.48 -23.273
1574 "voltagrande,mg" -42.539 -21.771
1575 "saofidelis,rj" -41.747 -21.646
1576 "tombos,mg" -42.023 -20.905
1577 "saojosedocalcado,es" -41.654 -21.025
1578 "tijucas,sc" -48.634 -27.241
1579 "varginha,mg" -45.43 -21.551
1580 "socorro,sp" -46.529 -22.591
1581 "toledo,mg" -46.372 -22.743
1582 "vargem,sp" -46.414 -22.889
1583 "saocristovaodosul,sc" -50.441 -27.267
1584 "peruibe,sp" -46.998 -24.32
1585 "massaranduba,sc" -49.008 -26.611
1586 "ibirama,sc" -49.518 -27.057
1587 "taio,sc" -49.998 -27.116
1588 "timbo,sc" -49.272 -26.823
1589 "navegantes,sc" -48.654 -26.899
1590 "ituporanga,sc" -49.601 -27.414
1591 "trescoracoes,mg" -45.253 -21.697
1592 "umbauba,se" -37.658 -11.383
1593 "saosebastiao,al" -36.554 -9.934
1594 "ubaitaba,ba" -39.323 -14.313
1595 "siriri,se" -37.113 -10.604
1596 "pocoredondo,se" -37.685 -9.806
1597 "vacaria,rs" -50.934 -28.512
1598 "santosdumont,mg" -43.553 -21.457
1599 "xaxim,sc" -52.535 -26.962
1600 "uniaodospalmares,al" -36.032 -9.163
1601 "teresopolis,rj" -42.966 -22.412
1602 "voltaredonda,rj" -44.104 -22.523
1603 "valenca,ba" -39.073 -13.37
1604 "conceicaodocastelo,es" -41.244 -20.368
1605 "venturosa,pe" -36.874 -8.575
1606 "uirauna,pb" -38.412 -6.518
1607 "zedoca,ma" -45.824 -3.243
1608 "coroata,ma" -44.124 -4.13
1609 "vargemgrande,ma" -43.916 -3.543
1610 "santaluziadoparua,ma" -45.773 -2.629
1611 "vitoriadomearim,ma" -44.871 -3.462
1612 "xinguara,pa" -49.946 -7.095
1613 "unai,mg" -46.906 -16.358
1614 "varzeagrande,mt" -56.133 -15.647
1615 "saocaitano,pe" -36.143 -8.326
1616 "saojosedalaje,al" -36.058 -9.01
1617 "vitoriadesantoantao,pe" -35.291 -8.118
1618 "valencadopiaui,pi" -41.746 -6.408
1619 "toritama,pe" -36.051 -7.999
1620 "santacruzdocapibaribe,pe" -36.205 -7.957
1621 "santarita,pb" -34.978 -7.114
1622 "ribeira,sp" -49.009 -24.657
1623 "ouroeste,sp" -50.372 -20.001
1624 "tucano,ba" -38.787 -10.963
1625 "serrinha,ba" -39.008 -11.664
1626 "sume,pb" -36.88 -7.672
1627 "saomarcos,rs" -51.068 -28.971
1628 "uniflor,pr" -52.157 -23.087
1629 "terrarica,pr" -52.617 -22.709
1630 "regentefeijo,sp" -51.303 -22.221
1631 "saojoaodocaiua,pr" -52.337 -22.852
1632 "tarabai,sp" -51.559 -22.303
1633 "queluz,sp" -44.774 -22.537
1634 "saoraimundononato,pi" -42.699 -9.015
1635 "paranaiguara,go" -50.654 -18.916
1636 "saltodadivisa,mg" -39.947 -16.003
1637 "mundonovo,ba" -40.472 -11.859
1638 "santavitoria,mg" -50.121 -18.839
1639 "urandi,ba" -42.655 -14.771
1640 "liciniodealmeida,ba" -42.508 -14.682
1641 "sebastiaolaranjeiras,ba" -42.94 -14.573
1642 "palmasdemontealto,ba" -43.162 -14.267
1643 "varzeadapalma,mg" -44.731 -17.598
1644 "turmalina,mg" -42.73 -17.286
1645 "taiobeiras,mg" -42.233 -15.808
1646 "seabra,ba" -41.77 -12.419
1647 "montesclarosdegoias,go" -51.397 -16.008
1648 "sanclerlandia,go" -50.314 -16.198
1649 "novobrasil,go" -50.711 -16.034
1650 "itaberai,go" -49.81 -16.02
1651 "goias,go" -50.14 -15.934
1652 "faina,go" -50.361 -15.446
1653 "mozarlandia,go" -50.571 -14.745
1654 "wenceslaubraz,pr" -49.803 -23.874
1655 "tomazina,pr" -49.95 -23.778
1656 "ribeiraoclaro,pr" -49.758 -23.194
1657 "papagaios,mg" -44.748 -19.449
1658 "riachinho,mg" -45.992 -16.23
1659 "urucuia,mg" -45.742 -16.133
1660 "mambai,go" -46.113 -14.488
1661 "mimosodegoias,go" -48.161 -15.056
1662 "itacarambi,mg" -44.092 -15.102
1663 "sitiod'abadia,go" -46.253 -14.805
1664 "campinacu,go" -48.571 -13.79
1665 "rubiataba,go" -49.803 -15.164
1666 "santaterezinhadegoias,go" -49.706 -14.438
1667 "saoromao,mg" -45.069 -16.369
1668 "ubai,mg" -44.778 -16.285
1669 "turvo,sc" -49.679 -28.926
1670 "tocantins,mg" -43.018 -21.175
1671 "saodesiderio,ba" -44.973 -12.363
1672 "utinga,ba" -41.094 -12.082
1673 "wagner,ba" -41.168 -12.287
1674 "xique-xique,ba" -42.731 -10.822
1675 "candeiasdojamari,ro" -63.701 -8.791
1676 "tupa,sp" -50.514 -21.935
1677 "novaaurora,go" -48.255 -18.059
1678 "orizona,go" -48.296 -17.031
1679 "urutai,go" -48.203 -17.464
1680 "pratapolis,mg" -46.861 -20.745
1681 "roseira,sp" -45.305 -22.898
1682 "sapucai-mirim,mg" -45.743 -22.748
1683 "macaiba,rn" -35.354 -5.858
1684 "timbiras,ma" -43.941 -4.255
1685 "vitorinofreire,ma" -45.251 -4.282
1686 "tuntum,ma" -44.649 -5.258
1687 "votuporanga,sp" -49.973 -20.423
1688 "saojosedospinhais,pr" -49.206 -25.535
1689 "itapoa,sc" -48.616 -26.117
1690 "santaisabeldoivai,pr" -53.197 -23.003
1691 "serranegra,sp" -46.701 -22.612
1692 "iguape,sp" -47.555 -24.708
1693 "pariquera-acu,sp" -47.881 -24.715
1694 "saobentodosul,sc" -49.379 -26.25
1695 "niquelandia,go" -48.46 -14.474
1696 "taguatinga,to" -46.436 -12.404
1697 "parana,to" -47.883 -12.615
1698 "saovicentedosul,rs" -54.679 -29.692
1699 "saopedrodosul,rs" -54.179 -29.621
1700 "saotomasdeaquino,mg" -47.098 -20.784
1701 "valenca,rj" -43.7 -22.246
1702 "terezinha,pe" -36.623 -9.056
1703 "taruma,sp" -50.577 -22.747
1704 "vicentedutra,rs" -53.405 -27.162
1705 "veranopolis,rs" -51.549 -28.936
1706 "tremedal,ba" -41.411 -14.976
1707 "brejao,pe" -36.569 -9.03
1708 "tapera,rs" -52.87 -28.626
1709 "sanharo,pe" -36.566 -8.361
1710 "trindade,pe" -40.268 -7.762
1711 "tiete,sp" -47.715 -23.102
1712 "uruguaiana,rs" -57.088 -29.755
1713 "saojosedoouro,rs" -51.594 -27.769
1714 "tapejara,rs" -52.014 -28.068
1715 "urussanga,sc" -49.321 -28.518
1716 "vargemgrandedosul,sp" -46.894 -21.832
1717 "planaltina,go" -47.614 -15.453
1718 "xexeu,pe" -35.627 -8.802
1719 "sirinhaem,pe" -35.116 -8.591
1720 "saodomingos,go" -46.318 -13.398
1721 "santaritadecassia,ba" -44.519 -11.009
1722 "trairao,pa" -55.944 -4.574
1723 "tresbarras,sc" -50.322 -26.106
1724 "tresarroios,rs" -52.147 -27.499
1725 "tangara,sc" -51.247 -27.105
1726 "timbauba,pe" -35.318 -7.505
1727 "paudalho,pe" -35.18 -7.897
1728 "ubajara,ce" -40.921 -3.854
1729 "sertaozinho,sp" -47.99 -21.138
1730 "taquaritinga,sp" -48.505 -21.406
1731 "redentora,rs" -53.638 -27.664
1732 "miraguai,rs" -53.686 -27.494
1733 "santoantoniododescoberto,go" -48.255 -15.94
1734 "wanderlandia,to" -47.963 -6.849
1735 "manga,mg" -43.932 -14.756
1736 "miraestrela,sp" -50.137 -19.979
1737 "saofranciscodesales,mg" -49.774 -19.863
1738 "sapucaiadosul,rs" -51.144 -29.839
1739 "saosebastiaodocai,rs" -51.376 -29.587
1740 "trespassos,rs" -53.932 -27.456
1741 "palmitinho,rs" -53.555 -27.355
1742 "saosebastiao,sp" -45.41 -23.76
1743 "ubatuba,sp" -45.071 -23.434
1744 "sacramento,mg" -47.44 -19.865
1745 "vilavelha,es" -40.292 -20.33
1746 "inhumas,go" -49.496 -16.358
1747 "novaveneza,go" -49.323 -16.371
1748 "novogama,go" -48.039 -16.059
1749 "valparaisodegoias,go" -47.979 -16.066
1750 "cidadeocidental,go" -47.925 -16.077
1751 "vianopolis,go" -48.516 -16.742
1752 "turvania,go" -50.134 -16.614
1753 "torixoreu,mt" -52.556 -16.199
1754 "saomigueldoaraguaia,go" -50.163 -13.275
1755 "serradourada,ba" -43.95 -12.761
1756 "itamonte,mg" -44.87 -22.284
1757 "soledadedeminas,mg" -45.045 -22.06
1758 "rinopolis,sp" -50.722 -21.726
1759 "santacruzdoriopardo,sp" -49.633 -22.899
1760 "matinhos,pr" -48.543 -25.818
1761 "saojoaodabarra,rj" -41.051 -21.64
1762 "miracatu,sp" -47.46 -24.281
1763 "tuparetama,pe" -37.311 -7.602
1764 "vargemalta,es" -41.007 -20.671
1765 "telemacoborba,pr" -50.616 -24.324
1766 "saopedrodacipa,mt" -54.921 -16.001
1767 "saosebastiaodagrama,sp" -46.821 -21.711
1768 "serraazul,sp" -47.566 -21.311
1769 "tangara,rn" -35.802 -6.199
1770 "saojosedocampestre,rn" -35.714 -6.316
1771 "itingadomaranhao,ma" -47.526 -4.45
1772 "tanhacu,ba" -41.248 -14.021
1773 "ecoporanga,es" -40.831 -18.373
1774 "mantenopolis,es" -41.123 -18.863
1775 "itueta,mg" -41.17 -19.394
1776 "varre-sai,rj" -41.869 -20.931
1777 "silvianopolis,mg" -45.835 -22.029
1778 "selviria,ms" -51.419 -20.367
1779 "valparaiso,sp" -50.868 -21.228
1780 "portelandia,go" -52.679 -17.354
1781 "tupipaulista,sp" -51.571 -21.381
1782 "novaserrana,mg" -44.984 -19.876
1783 "novapratadoiguacu,pr" -53.347 -25.633
1784 "saojorged'oeste,pr" -52.918 -25.706
1785 "quedasdoiguacu,pr" -52.908 -25.45
1786 "tupancireta,rs" -53.836 -29.081
