"Source" "Target" "Weight"
33 83 210
33 85 1455
33 86 559
33 87 191
33 88 1579
33 90 296
33 91 536
33 92 281
33 93 493
33 97 996
33 98 493
33 180 141
33 183 219
33 184 126
33 182 438
33 185 24
33 188 85
34 83 4
34 59 517
34 85 529
34 86 13
34 88 290
34 90 123
34 91 249
34 93 138
34 98 122
34 184 92
34 182 424
34 185 21
35 36 304
35 40 275
35 47 163
35 50 352
35 55 141
35 137 902
35 53 287
36 53 74
36 73 40
37 67 39
37 85 76
37 48 6
38 41 12
9 39 8
39 62 7
39 67 39
40 45 210
40 46 65
40 51 24
40 73 13
40 85 268
40 137 106
40 189 280
39 41 30
41 48 23
41 67 38
41 73 88
41 85 160
41 98 40
42 67 17
42 73 28
43 73 14
43 44 11
44 45 16
45 46 112
45 85 277
46 73 25
46 85 123
46 199 30
47 50 59
47 55 64
47 56 7
47 67 19
47 59 126
47 85 127
47 94 210
47 137 48
47 151 37
47 209 20
9 48 15
12 48 18
48 67 36
48 85 48
48 98 15
47 49 9
49 94 36
50 67 89
50 73 107
50 94 36
51 73 15
51 137 124
52 67 26
52 85 28
52 98 7
53 55 137
53 67 64
53 73 102
54 67 27
53 54 4
54 73 39
56 73 54
56 85 65
56 98 26
42 56 23
57 62 19
57 67 36
57 73 45
57 85 134
58 64 12
59 85 10653
59 88 12983
59 93 3050
59 97 4337
59 62 1359
59 90 3616
59 94 3121
60 61 25
60 85 14
11 61 17
62 85 3491
62 63 68
9 62 7
56 62 3
62 71 231
62 80 194
62 88 1283
62 94 122
62 97 1225
62 98 331
62 132 518
62 136 166
62 137 497
62 151 34
62 182 211
30 62 89
65 85 32
25 66 35
66 94 140
16 67 20
56 67 29
67 69 46
67 70 137
67 71 298
67 73 219
67 75 72
67 77 47
67 76 78
67 78 159
67 79 166
67 85 285
67 88 169
67 91 57
67 98 453
67 131 60
67 132 338
67 135 134
67 136 146
67 137 120
67 138 98
67 189 609
67 193 219
67 199 464
67 209 736
68 73 90
68 75 74
68 79 53
69 70 35
69 73 62
70 73 56
70 85 115
70 98 40
70 137 19
71 132 3639
71 135 658
71 137 585
71 74 32
71 86 125
71 98 561
71 134 253
71 72 26
71 73 191
71 76 128
71 77 54
71 80 663
71 83 23
59 71 1104
71 85 161
71 87 263
71 88 740
71 91 77
71 93 922
71 97 1623
71 131 349
71 136 161
71 138 836
71 140 258
71 182 292
71 189 564
71 199 566
71 202 331
71 209 508
72 132 5
12 73 43
17 73 150
44 73 10
73 75 272
73 77 56
73 76 130
73 78 320
73 79 187
73 85 708
73 97 328
73 98 140
73 132 104
73 137 384
73 148 175
73 189 600
73 199 376
73 209 221
74 132 20
74 98 35
75 78 111
75 79 98
75 98 28
75 137 72
76 132 554
75 77 23
76 77 9
77 79 44
77 137 99
76 98 146
76 131 242
76 134 97
76 137 505
71 78 83
78 79 248
78 137 162
78 138 160
18 78 25
25 79 78
71 79 59
79 98 50
79 137 203
59 80 23496
80 85 40120
80 88 20864
80 97 21701
80 104 3532
80 105 16353
80 106 3972
80 107 1999
80 108 10825
80 109 91140
80 110 940
80 111 12293
80 112 12407
80 113 6063
80 114 1462
80 116 3685
80 117 16016
80 118 1634
80 137 7341
80 147 28204
80 148 14890
80 150 3109
80 151 14574
80 152 2378
80 153 1361
80 155 10877
80 159 5886
80 161 764
80 169 3227
80 170 19033
80 172 598
80 173 5741
80 174 1379
80 178 1426
80 94 4723
80 163 500
80 209 23782
80 91 1614
80 176 1100
80 189 2951
80 193 6967
67 80 84
80 93 5364
80 98 4578
80 132 1653
80 182 2712
80 134 974
80 135 674
80 146 3867
80 162 208
80 164 468
80 168 254
80 184 671
80 120 172
80 126 94
80 129 1509
80 149 1472
80 207 3585
80 154 213
80 156 154
80 160 397
80 167 56
80 171 119
80 86 368
21 81 24
81 86 28
81 88 949
81 89 79
81 93 78
81 98 91
82 182 360
82 83 90
59 82 1568
82 85 1020
82 86 79
82 88 638
82 90 380
82 91 236
82 93 281
82 96 47
82 97 558
82 98 66
6 82 35
83 98 722
83 85 636
83 86 493
83 87 156
83 88 292
83 91 151
83 92 60
83 93 165
83 96 58
83 97 593
83 99 22
6 83 109
83 131 48
83 134 65
83 136 45
83 137 235
83 184 170
83 182 470
83 185 228
59 84 728
84 85 1893
84 86 55
84 88 69
84 93 411
84 97 1335
84 182 153
84 90 194
84 95 42
84 98 180
84 100 61
59 182 5515
59 98 2640
58 59 17
59 86 1061
59 87 2219
59 91 199
59 92 388
59 96 1579
59 134 1072
59 137 3522
59 139 61
59 150 710
59 151 1194
59 155 1314
59 184 1672
59 185 188
59 206 710
11 59 35
13 59 15
39 59 12
59 105 792
59 106 162
59 109 1667
59 111 475
59 112 372
59 115 103
59 132 376
59 148 791
59 152 715
59 153 534
59 156 100
59 159 660
59 160 139
59 161 202
59 199 771
59 209 1252
59 103 74
85 86 3724
85 88 12557
85 94 5424
85 97 1374
85 92 1175
85 98 4830
85 90 2492
85 93 744
85 137 2520
85 91 2385
85 182 4074
85 96 546
85 184 599
85 185 567
61 85 5
66 85 43
85 87 506
85 89 409
85 102 254
85 105 1055
85 109 3240
85 111 363
85 115 306
85 131 307
85 132 1956
85 134 723
85 136 921
85 138 531
85 139 126
85 146 986
85 147 2233
85 148 129
85 150 828
85 151 1065
85 152 335
85 155 393
85 159 462
85 161 68
85 180 466
85 181 486
85 183 548
85 188 156
85 189 2583
85 190 500
85 193 2007
85 199 2618
85 200 2106
85 203 1533
85 206 2074
85 209 2230
85 114 20
85 133 32
85 158 86
85 166 146
85 167 197
86 87 145
86 88 1984
86 90 876
86 91 180
86 92 18
86 93 845
86 96 135
86 97 1228
86 98 278
86 99 157
6 86 122
86 134 210
86 136 302
86 137 522
86 183 146
86 184 208
86 182 1804
87 88 854
87 90 108
87 91 78
87 92 146
87 93 66
87 94 799
87 96 63
87 97 584
87 98 124
6 87 11
87 180 198
87 184 39
87 185 167
87 182 415
88 90 1481
88 96 2334
88 97 2807
88 92 949
88 93 1532
88 182 7539
40 88 106
88 91 1172
88 94 4902
88 98 1734
88 99 762
6 88 430
88 109 640
88 115 521
88 132 2203
88 133 675
88 136 715
88 137 3218
88 138 392
88 147 2122
88 151 1341
88 180 731
88 184 1340
88 185 420
88 193 2040
88 199 2142
88 206 1790
88 209 4438
13 88 79
88 102 22
88 134 308
88 135 540
88 148 1123
88 150 755
88 181 60
88 183 191
88 188 208
88 190 334
88 189 868
89 90 114
89 93 48
89 95 22
89 97 116
89 98 209
89 100 78
89 102 85
89 182 118
90 91 88
90 92 418
90 93 104
90 94 1077
90 96 635
90 97 733
90 98 635
6 90 195
90 103 179
90 137 686
90 148 655
90 179 209
90 180 311
90 181 344
90 184 81
90 182 2928
90 185 207
90 188 92
91 93 125
91 96 279
91 97 1496
91 98 391
6 91 168
91 134 72
91 148 373
91 183 69
91 184 602
91 182 1633
91 185 393
91 188 73
91 189 77
91 193 248
91 199 348
91 209 414
92 93 298
92 97 569
92 98 74
92 182 702
93 97 926
93 98 2173
93 94 2805
93 95 190
93 96 271
93 99 61
93 100 164
93 102 116
93 103 44
93 133 378
93 134 373
93 137 684
93 140 88
93 146 373
93 147 788
93 179 223
93 180 393
93 181 378
93 183 453
93 184 449
93 182 1256
93 185 243
93 189 732
93 199 83
93 209 1324
94 97 1302
94 151 3086
57 94 10
94 96 825
94 98 2269
94 99 100
94 137 807
94 161 65
94 184 721
94 182 676
95 98 126
6 95 44
96 97 1560
96 98 163
96 99 73
6 96 65
96 134 69
96 136 185
96 137 102
96 182 361
23 97 120
97 98 1655
97 132 705
97 134 704
97 136 392
97 137 2866
97 184 1641
97 182 4099
97 185 284
97 209 3226
97 100 286
97 102 215
97 105 148
97 115 194
97 138 396
97 147 1076
97 148 541
97 151 378
97 189 1955
97 193 1198
97 199 1958
97 206 1795
98 133 967
98 140 516
98 180 676
98 182 2700
14 98 30
78 98 72
98 99 133
98 100 69
98 102 87
98 130 121
98 131 75
98 132 1664
98 134 176
98 135 171
98 136 211
98 137 1042
98 138 603
98 139 531
98 147 939
98 148 105
98 151 271
98 179 416
98 183 193
98 184 497
98 185 179
98 186 70
98 188 75
98 189 966
98 193 932
98 196 146
98 198 137
98 199 1244
98 203 765
98 206 1484
98 209 2791
33 99 34
99 184 25
99 182 350
6 100 26
100 137 55
6 84 16
6 102 260
6 137 353
6 182 106
102 182 243
104 105 68
104 108 31
104 114 67
104 117 51
104 170 10
105 114 37
105 111 263
105 150 275
105 152 284
105 155 506
105 159 350
105 170 219
105 182 133
105 108 42
105 112 334
105 115 95
105 151 340
105 167 10
105 174 99
106 107 378
106 109 196
106 110 186
106 111 175
106 112 195
106 113 138
106 155 355
107 109 101
107 111 388
107 112 358
107 113 258
108 111 27
108 116 45
108 162 35
108 163 12
108 176 41
25 108 152
109 111 1670
109 112 156
109 113 205
109 115 288
109 150 1291
109 151 1047
109 152 1500
109 153 173
109 155 454
109 159 522
109 161 95
109 147 257
109 209 18
109 118 18
110 111 132
110 112 98
110 113 94
111 112 577
111 113 128
111 114 12
111 115 161
111 117 131
111 150 350
111 151 1261
111 152 177
111 153 213
111 154 72
111 155 1197
111 156 44
111 159 152
111 160 126
111 161 123
111 170 101
111 173 33
111 174 49
112 113 143
112 155 45
112 159 348
59 113 130
113 118 22
113 153 177
113 155 558
113 159 190
114 167 26
115 117 427
115 150 156
115 153 261
115 155 455
115 159 493
115 161 189
115 182 136
116 117 189
119 129 80
119 207 57
120 121 36
120 123 16
120 125 28
120 127 14
120 129 177
120 193 362
120 207 925
121 129 38
121 207 28
120 122 9
123 143 5
125 129 58
126 129 28
127 128 14
127 129 10
127 207 101
128 129 23
128 147 45
128 207 85
129 147 704
129 148 499
129 152 88
129 193 634
129 199 859
129 203 537
129 206 2335
129 207 6300
129 209 1689
130 133 8
130 135 143
130 137 138
130 139 24
130 189 88
131 132 677
131 133 79
131 134 116
131 135 327
131 136 202
131 137 774
131 138 198
131 139 733
131 140 79
131 149 193
131 189 2316
131 190 478
131 199 550
132 137 3275
132 133 147
132 134 613
132 135 838
132 136 574
132 138 864
132 139 3106
132 149 1217
132 189 8980
132 190 1748
132 192 57
132 202 1084
132 203 717
132 206 984
132 209 461
132 148 231
132 193 245
133 135 105
133 137 498
133 136 74
133 138 354
133 139 154
133 140 65
133 180 29
133 181 20
133 182 18
133 189 452
133 199 297
133 203 234
133 209 386
133 187 6
134 135 156
134 136 137
134 137 434
134 138 610
134 140 277
134 184 107
134 182 58
134 189 691
134 199 359
135 136 134
135 137 661
135 138 96
135 139 680
135 189 3231
135 190 828
135 192 63
135 199 736
135 203 434
136 137 750
136 138 715
136 140 253
136 182 187
137 138 987
137 139 1388
137 147 1948
137 148 1024
137 149 311
137 185 48
137 182 1306
137 189 5624
137 190 462
137 193 822
137 196 388
137 198 295
137 199 1215
137 200 536
137 202 898
137 203 1459
137 206 859
137 207 3285
137 209 2277
69 137 40
137 140 435
137 146 555
137 151 410
137 180 65
137 181 54
137 183 67
137 184 156
137 186 25
137 188 27
137 192 111
137 204 41
137 179 23
138 139 372
138 189 2122
138 190 104
138 192 82
138 196 390
138 198 186
138 199 670
138 203 482
7 139 85
139 190 28
139 199 107
139 203 172
88 139 45
139 209 34
141 142 152
141 147 164
141 148 144
141 209 171
80 142 161
142 144 41
142 145 25
142 146 140
142 147 1763
142 148 369
142 149 119
143 144 12
145 147 103
145 148 32
146 147 4039
146 148 1029
146 193 2113
146 195 454
146 199 1286
146 200 1243
146 206 788
146 209 15174
146 149 475
146 191 828
146 189 837
146 201 323
146 202 2351
146 203 660
146 207 1744
3 147 26
147 148 7895
147 149 1686
147 182 208
147 189 1335
147 190 280
147 193 2762
147 195 1165
147 199 4897
147 200 6406
147 201 296
147 202 3236
147 203 2134
147 206 3148
147 207 2506
147 209 14032
147 211 66
148 193 1498
148 209 14702
148 149 1518
148 182 1250
148 191 1388
148 195 298
148 199 2130
148 200 2299
148 203 686
93 148 30
120 148 37
148 179 120
148 189 787
148 190 191
148 194 82
148 196 82
148 201 342
148 202 1793
148 206 303
148 207 1400
148 211 72
149 193 961
149 206 1249
3 149 47
149 191 107
149 195 106
149 199 616
149 200 273
149 202 207
149 204 49
149 203 667
149 207 524
149 209 468
150 151 2196
150 152 705
150 154 86
150 160 218
150 159 212
150 155 283
150 156 52
150 161 60
151 157 14
151 160 284
151 152 640
151 155 369
151 159 280
151 153 150
151 154 65
151 156 75
151 161 104
152 153 69
152 154 53
152 155 320
152 159 336
152 160 98
153 155 200
153 159 124
153 161 109
154 156 12
154 159 13
154 160 72
155 156 37
155 159 612
155 161 54
155 170 126
155 173 37
155 174 60
156 159 75
157 176 20
158 166 38
159 160 104
159 161 89
161 173 33
161 174 26
161 176 33
152 161 59
162 176 108
105 163 23
163 164 166
163 165 51
85 163 65
163 167 27
163 170 44
163 171 62
163 172 30
163 174 29
163 176 29
18 164 26
164 165 48
164 166 19
164 168 79
164 172 102
164 176 117
165 169 51
165 170 76
80 166 16
105 166 9
115 166 13
